,003ba30e1374a6ea2cfed3594df32399,"market for hazardous waste, for incineration",Europe without Switzerland,-7.10493e-05,kilogram,cutoff38,f16ebe0cf00906d23646f15369313fe6,"treatment of low level radioactive waste, plasma torch incineration",CH,-0.09,cubic meter
164,1b4c27949c843496d485d49a92a094c1,"market for hazardous waste, for incineration",RoW,-0.0003062707991595,kilogram,cutoff38,,,,,
165,1b52eda53866bba33f3aaa3bd999fb26,"market for hazardous waste, for incineration",RoW,-8.73e-07,kilogram,cutoff38,,,,,
166,1b72483f181141f12f5db952a3b430c6,"market for hazardous waste, for incineration",RoW,-0.617,kilogram,cutoff38,,,,,
167,1b7db2a71c6ba50017df247cffbbaebf,"treatment of waste graphical paper, municipal incineration",RoW,-0.648037776664191,kilogram,cutoff38,,,,,
168,1b81d5ca18599c3a2c87d3cb305ba857,"market for process-specific burdens, municipal waste incineration",Europe without Switzerland,3.53593056037363e-05,kilogram,cutoff38,,,,,
169,1b81d5ca18599c3a2c87d3cb305ba857,"market for process-specific burdens, municipal waste incineration",RoW,8.96406943962637e-05,kilogram,cutoff38,,,,,
170,1b85d621a4fd09b17d14bd84a65078ea,"market for hazardous waste, for incineration",RoW,-9.7e-07,kilogram,cutoff38,,,,,
171,1ba2b038d54d755d4eeca3fc22da0cd8,"treatment of waste plastic, mixture, municipal incineration",RoW,-2.9365309991535e-06,kilogram,cutoff38,,,,,
172,1ba2b038d54d755d4eeca3fc22da0cd8,"treatment of municipal solid waste, incineration",ES,-0.0389555595786723,kilogram,cutoff38,,,,,
173,1ba2b038d54d755d4eeca3fc22da0cd8,"market for hazardous waste, for incineration",CH,-8.50202378509661e-06,kilogram,cutoff38,,,,,
174,1ba2b038d54d755d4eeca3fc22da0cd8,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0003252570846296,kilogram,cutoff38,,,,,
175,1ba2b038d54d755d4eeca3fc22da0cd8,"market for hazardous waste, for incineration",RoW,-0.0006763560612425,kilogram,cutoff38,,,,,
176,1ba4b3e713987ac529d6464e19905436,"treatment of waste polyvinylchloride, municipal incineration",RoW,-0.667753859534681,kilogram,cutoff38,,,,,
177,1bfda2d364a92bceab67fdd5e4e4ba45,"treatment of waste polyurethane, municipal incineration",RoW,-0.107643629912986,kilogram,cutoff38,,,,,
178,1c11acc924f41b6d0441525d0957bdf3,"market for hazardous waste, for incineration",Europe without Switzerland,-9.80619240020467e-05,kilogram,cutoff38,,,,,
179,1c11acc924f41b6d0441525d0957bdf3,"market for hazardous waste, for incineration",CH,-2.56327947853035e-06,kilogram,cutoff38,,,,,
180,1c6239603ab74d016349f2f18902e183,"treatment of waste polypropylene, municipal incineration",RoW,-0.982431807674526,kilogram,cutoff38,,,,,
181,1c72db0af128db9aa10052ab66bfe125,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.969427058257102,kilogram,cutoff38,,,,,
